fecha,fuente,plataforma,tipo_contenido,contenido_resumido,tema,entidad_o_contexto,url,sentimiento,verificacion,nota_metodologica,interacciones,comentarios,compartidos,visualizaciones,guardados,ubicacion,circunscripcion,edad,hashtags,audio
2026-06-29,La Hora,Medios digitales,Artículo,"Juan Fernando Arias fue elegido como precandidato de Juntos lista 70; participaron más de 300 militantes.","Proceso electoral / candidatura","Juntos 70",https://www.lahora.com.ec/imbaburacarchi/juntos-70-oficializa-a-juan-arias-como-precandidato,No inferido,Respaldada,"Registro verificado en fuente original.",120,15,30,0,0,Centro,Circunscripción 3,,"#JuanArias;#Ibarra",
2026-07-25,La Hora,Medios digitales,Entrevista,"Entrevista sobre modernización del Mercado Amazonas con proyección de inversión.","Mercado Amazonas","Propuesta de Juan Arias",https://www.lahora.com.ec/imbaburacarchi/juan-arias-nuestra-proyeccion,No inferido,Respaldada,"Registro verificado en fuente original.",80,8,12,0,0,San Joaquín,Circunscripción 2,,"#MercadoAmazonas",
2026-07-26,Instagram,Instagram,Reel,"Reel: recorrido por el Mercado Amazonas con propuestas de modernización y empleo juvenil.","Mercado Amazonas","Propuesta de Juan Arias",https://www.instagram.com/p/AAA1,Positivo,Respaldada,"Post oficial del candidato.",2200,180,90,35000,540,Barrio La Merced,Circunscripción 3,28,"#MercadoAmazonas;#PorIbarraTodo",audio_mercado_1
2026-07-27,Facebook,Facebook,Post,"Publicación sobre plan de agua potable y mantenimiento de pozos en barrios rurales.","Agua potable","Propuesta de Juan Arias",https://www.facebook.com/poribarratodo/posts/1,Positivo,Respaldada,"Post oficial del candidato.",1500,120,210,8000,45,Parroquia El Sagrario,Circunscripción 4,40,"#AguaParaIbarra;#PorIbarraTodo",
2026-07-28,TikTok,TikTok,Video,"Video explicando beneficios del tren como mejora a la movilidad urbana.","Movilidad y transporte","Propuesta de Juan Arias",https://www.tiktok.com/@juanariasec/video/1,Positivo,Respaldada,"Post oficial del candidato.",5000,400,600,120000,200,El Centro,Circunscripción 1,22,#TrenIbarra,audio_tren_viral
2026-07-30,Primera Zona,Medios digitales,Artículo,"Análisis de encuesta que muestra intención de voto y tasa de indecisos.","Proceso electoral / candidatura","Encuestas",https://primerazona.news/encuesta,No inferido,Revisar fuente original,"Citado de encuesta local.",95,10,18,0,0,Sur,Circunscripción 5,,"#Encuestas",
2026-07-15,La Hora,Medios digitales,Crónica,"Cobertura de ocupación de espacios públicos y problemáticas de seguridad.","Seguridad","Contexto de Ibarra",https://www.lahora.com.ec/seguridad,Negativo,Revisar fuente original,"Registro construido a partir de información pública.",60,22,8,0,0,Barrio San Sebastián,Circunscripción 6,,"#Seguridad;#EspacioPúblico",
2026-07-03,La Hora,Medios digitales,Reporte,"Noticias sobre protección de áreas verdes y Guayabillas.","Ambiente","Contexto de Ibarra",https://www.lahora.com.ec/tema/ibarra-t49650,Neutro,Revisar fuente original,"Registro construido a partir de información pública.",40,6,4,0,0,Guayabillas,Circunscripción 7,,"#Ambiente",
2026-07-17,La Hora,Medios digitales,Crónica,"Inauguración del Centro Cultural y Comercial El Torreón.","Desarrollo urbano / cultura","Contexto de Ibarra",https://www.lahora.com.ec/tema/ibarra-t49650,Positivo,Respaldada,"Registro verificado.",210,34,50,0,0,Villa Libertad,Circunscripción 8,,"#Cultura;#DesarrolloUrbano",
2026-07-20,Instagram,Instagram,Story,"Story corto: llamada a jóvenes para participar en programa de empleo juvenil.","Juventud","Propuesta de Juan Arias",https://www.instagram.com/stories/juan/1,Positivo,Respaldada,"Contenido efímero del equipo.",450,25,12,8000,60,Barrio La Victoria,Circunscripción 9,24,"#EmpleoJoven;#Juventud",audio_joven_1
2026-07-22,Facebook,Facebook,Post,"Publicación sobre infraestructura: propuesta de puente en ingreso norte.","Infraestructura","Propuesta de Juan Arias",https://www.facebook.com/poribarratodo/posts/2,Positivo,Respaldada,"Post oficial del candidato.",1200,90,300,15000,30,Ingreso Norte,Circunscripción 10,45,"#PuenteIngresoNorte",
2026-07-24,TikTok,TikTok,Video,"Clip con testimonios de comerciantes del Mercado Amazonas.","Comercio / mercado Amazonas","Propuesta de Juan Arias",https://www.tiktok.com/@juanariasec/video/2,Positivo,Respaldada,"Contenido de campaña.",3200,210,180,98000,120,Barrio Comercio,Circunscripción 2,30,"#MercadoAmazonas;#ComercioLocal",audio_mercado_testimonials
2026-07-29,Diario El Norte,Medios digitales,Artículo,"Reportaje sobre la vinculación con la academia para generación de empleo joven.","Empleo","Propuesta de Juan Arias",https://elnorte.ec/empleo-joven,No inferido,Revisar fuente original,"Cita de evento local.",55,8,6,0,0,Barrio San José,Circunscripción 11,,"#EmpleoJoven",
2026-07-31,Expectativa,Medios digitales,Artículo,"Cronograma de actividades del candidato en barrios urbanos y rurales.","Administración municipal","Agenda de campaña",https://www.expectativa.ec/agenda,No inferido,Revisar fuente original,"Listado de actividades públicas.",85,12,15,0,0,Varios,Circunscripción 3,,"#Agenda;#PorIbarraTodo",
2026-08-01,OMCE Medios,Medios digitales,Reporte,"Convocatoria oficial a elecciones y listado de precandidaturas en Ibarra.","Calendario electoral","Elecciones seccionales",https://omcemedios.com/omce/2026/07/01/mirador-politico-3/,No inferido,Revisar fuente original,"Registro construido a partir de información pública.",30,3,2,0,0,Provincia,Circunscripción 4,,"#Elecciones2026;#Ibarra",
